"year","month","date","Arts_Culture","Business_Tech","OpEd_Opinion","World"
2010,"January",2010-01-01," jay leno"," conan o'brien"," umar farouk abdulmutallab"," hillary rodham clinton"
2010,"February",2010-02-01," william kentridge"," akio toyoda"," david a paterson"," viktor f yanukovich"
2010,"March",2010-03-01," marina abramovic"," christopher j dodd"," david a paterson","benedict xvi "
2010,"April",2010-04-01," james levine"," lloyd c blankfein","benedict xvi ","benedict xvi "
2010,"May",2010-05-01," carol vogel"," jeanclaude trichet"," elena kagan"," david cameron"
2010,"June",2010-06-01," alan gilbert"," ben s bernanke"," stanley a mcchrystal"," hamid karzai"
2010,"July",2010-07-01," henri matisse"," robert dudley"," elena kagan"," nicolas sarkozy"
2010,"August",2010-08-01," alexei ratmansky"," mark v hurd"," george w bush"," benjamin netanyahu"
2010,"September",2010-09-01," robert lepage"," mark v hurd"," carl p paladino"," benjamin netanyahu"
2010,"October",2010-10-01," valery gergiev"," ben s bernanke"," carl p paladino"," benjamin netanyahu"
2010,"November",2010-11-01," annesophie mutter"," ben s bernanke"," abraham lincoln"," daw aung san suu kyi"
2010,"December",2010-12-01," david wojnarowicz"," bernard l madoff"," abraham lincoln"," laurent gbagbo"
2011,"January",2011-01-01," colin firth"," steven p jobs"," gabrielle giffords"," hosni mubarak"
2011,"February",2011-02-01," james franco"," bernard l madoff"," hosni mubarak"," hosni mubarak"
2011,"March",2011-03-01," james levine"," steven p jobs"," muammar el qaddafi"," muammar el qaddafi"
2011,"April",2011-04-01,"ai weiwei "," ben s bernanke"," paul d jr ryan"," muammar el qaddafi"
2011,"May",2011-05-01,"lady gaga "," dominique strausskahn"," osama bin laden"," osama bin laden"
2011,"June",2011-06-01,"lady gaga "," christine lagarde"," andrew m cuomo"," muammar el qaddafi"
2011,"July",2011-07-01," amy winehouse"," rupert murdoch"," john a boehner"," rupert murdoch"
2011,"August",2011-08-01," kanye west"," steven p jobs"," rick perry"," muammar el qaddafi"
2011,"September",2011-09-01," james levine"," angela merkel"," rick perry"," muammar el qaddafi"
2011,"October",2011-10-01,"adele  "," steven p jobs"," mitt romney"," muammar el qaddafi"
2011,"November",2011-11-01,"adele  "," michael c woodford"," herman cain"," bashar al assad"
2011,"December",2011-12-01," steven spielberg"," jed s rakoff"," newt gingrich"," vladimir v putin"
2012,"January",2012-01-01," george clooney"," angela merkel"," mitt romney"," bashar al assad"
2012,"February",2012-02-01," whitney houston"," mark e zuckerberg"," mitt romney"," bashar al assad"
2012,"March",2012-03-01," paul taylor"," ben s bernanke"," mitt romney"," bashar al assad"
2012,"April",2012-04-01," william shakespeare"," christine lagarde"," mitt romney","bo xilai "
2012,"May",2012-05-01," donna summer"," mark e zuckerberg"," mitt romney"," francois hollande"
2012,"June",2012-06-01," charlie sheen"," angela merkel"," mitt romney"," bashar al assad"
2012,"July",2012-07-01," frank ocean"," marissa mayer"," mitt romney"," bashar al assad"
2012,"August",2012-08-01," marvin hamlisch"," angela merkel"," mitt romney"," bashar al assad"
2012,"September",2012-09-01," philip glass"," mitt romney"," mitt romney"," j christopher stevens"
2012,"October",2012-10-01," pablo picasso"," mitt romney"," mitt romney"," bashar al assad"
2012,"November",2012-11-01," david carr"," angela merkel"," mitt romney","xi jinping "
2012,"December",2012-12-01," bruce springsteen"," ben s bernanke"," john a boehner"," bashar al assad"
2013,"January",2013-01-01," kathryn bigelow"," aaron  swartz"," john a boehner"," bashar al assad"
2013,"February",2013-02-01," steven spielberg"," ben s bernanke","benedict xvi ","benedict xvi "
2013,"March",2013-03-01," david carr"," andrew mason","francis "," bashar al assad"
2013,"April",2013-04-01," david carr"," christine lagarde"," margaret h thatcher"," bashar al assad"
2013,"May",2013-05-01," david carr"," marissa mayer"," bashar al assad"," bashar al assad"
2013,"June",2013-06-01," james gandolfini"," ben s bernanke"," edward j snowden"," recep tayyip erdogan"
2013,"July",2013-07-01," cory monteith"," ben s bernanke"," mohamed morsi"," mohamed morsi"
2013,"August",2013-08-01," lorne michaels"," steven a ballmer"," michael r bloomberg"," mohamed morsi"
2013,"September",2013-09-01," justin peck"," lawrence h summers"," bashar al assad"," bashar al assad"
2013,"October",2013-10-01," william shakespeare"," janet l yellen"," john a boehner"," hassan rouhani"
2013,"November",2013-11-01," cornelius gurlitt"," janet l yellen"," john fitzgerald kennedy"," john kerry"
2013,"December",2013-12-01," david o russell"," shinzo abe","francis "," nelson mandela"
2014,"January",2014-01-01," steve mcqueen"," marissa mayer"," christopher j christie"," bashar al assad"
2014,"February",2014-02-01," sid caesar"," janet l yellen"," vladimir v putin"," viktor f yanukovych"
2014,"March",2014-03-01," gregory cowles"," carl c icahn"," vladimir v putin"," vladimir v putin"
2014,"April",2014-04-01,"ai weiwei "," william a ackman"," vladimir v putin"," narendra modi"
2014,"May",2014-05-01," anthony tommasini"," william a ackman"," vladimir v putin"," narendra modi"
2014,"June",2014-06-01," william shakespeare"," mary t barra"," nuri kamal al maliki"," bowe r bergdahl"
2014,"July",2014-07-01," william shakespeare"," rupert murdoch"," vladimir v putin"," john kerry"
2014,"August",2014-08-01," william shakespeare"," william a ackman"," michael  brown"," vladimir v putin"
2014,"September",2014-09-01," joan rivers"," jack ma"," vladimir v putin"," vladimir v putin"
2014,"October",2014-10-01," pablo picasso"," timothy d cook"," bill de blasio","leung chunying "
2014,"November",2014-11-01," bill cosby"," william a ackman"," bill de blasio","xi jinping "
2014,"December",2014-12-01," michael keaton"," preet bharara"," eric garner"," vladimir v putin"
2015,"January",2015-01-01," ava duvernay"," mario draghi"," bill de blasio"," amedy  coulibaly"
2015,"February",2015-02-01," patricia arquette"," alexis tsipras"," scott k walker"," vladimir v putin"
2015,"March",2015-03-01," jonathan banks"," ellen pao"," benjamin netanyahu"," benjamin netanyahu"
2015,"April",2015-04-01," trevor  noah"," yanis varoufakis"," hillary rodham clinton"," vladimir v putin"
2015,"May",2015-05-01," david letterman"," alexis tsipras"," hillary rodham clinton"," david cameron"
2015,"June",2015-06-01," frederick ashton"," alexis tsipras"," jeb bush","francis "
2015,"July",2015-07-01," harper lee"," alexis tsipras"," hillary rodham clinton"," alexis tsipras"
2015,"August",2015-08-01," jon stewart"," jeffrey p bezos"," jeb bush"," vladimir v putin"
2015,"September",2015-09-01," stephen colbert"," martin winterkorn","francis ","xi jinping "
2015,"October",2015-10-01," jennie somogyi"," jack dorsey"," hillary rodham clinton"," bashar al assad"
2015,"November",2015-11-01,"adele  "," eric t schneiderman"," benjamin s carson"," francois hollande"
2015,"December",2015-12-01," johann sebastian bach"," martin  shkreli"," ted cruz"," bashar al assad"
2016,"January",2016-01-01," david bowie"," jack dorsey"," ted cruz"," joaquin guzman loera"
2016,"February",2016-02-01," bill cosby"," timothy d cook"," hillary rodham clinton"," bashar al assad"
2016,"March",2016-03-01," bill cosby"," john michael  pearson"," hillary rodham clinton","xi jinping "
2016,"April",2016-04-01,"prince  "," elizabeth  holmes"," hillary rodham clinton"," david cameron"
2016,"May",2016-05-01," beyonce knowles"," sumner m redstone"," hillary rodham clinton"," dilma rousseff"
2016,"June",2016-06-01," kanye west"," sumner m redstone"," hillary rodham clinton"," david cameron"
2016,"July",2016-07-01," william shakespeare"," roger e ailes"," hillary rodham clinton"," recep tayyip erdogan"
2016,"August",2016-08-01," frank ocean"," roger e ailes"," hillary rodham clinton"," vladimir v putin"
2016,"September",2016-09-01," kanye west"," hillary rodham clinton"," hillary rodham clinton"," bashar al assad"
2016,"October",2016-10-01," bob dylan"," hillary rodham clinton"," hillary rodham clinton"," rodrigo duterte"
2016,"November",2016-11-01," hillary rodham clinton"," hillary rodham clinton"," hillary rodham clinton","park geunhye "
2016,"December",2016-12-01," george michael"," rex w tillerson"," vladimir v putin"," vladimir v putin"
2017,"January",2017-01-01," meryl streep"," mark e zuckerberg"," vladimir v putin"," theresa m may"
2017,"February",2017-02-01," beyonce knowles"," evan spiegel"," stephen k bannon","kim jongun "
2017,"March",2017-03-01," stephen colbert"," travis kalanick"," paul d jr ryan"," recep tayyip erdogan"
2017,"April",2017-04-01," jimmy fallon"," bill o'reilly"," bashar al assad"," bashar al assad"
2017,"May",2017-05-01," jimmy kimmel"," roger e ailes"," james b comey"," emmanuel  macron"
2017,"June",2017-06-01," bill cosby"," travis kalanick"," james b comey"," theresa m may"
2017,"July",2017-07-01," stephen colbert"," martin  shkreli"," vladimir v putin"," vladimir v putin"
2017,"August",2017-08-01," stephen colbert"," james damore","kim jongun ","kim jongun "
2017,"September",2017-09-01," jimmy kimmel"," graydon carter"," colin kaepernick","kim jongun "
2017,"October",2017-10-01," harvey weinstein"," harvey weinstein"," harvey weinstein"," carles  puigdemont"
2017,"November",2017-11-01," stephen colbert"," dara khosrowshahi"," roy s moore"," robert mugabe"
2017,"December",2017-12-01," seth meyers"," rupert murdoch"," roy s moore"," theresa m may"
2018,"January",2018-01-01," seth meyers"," mark e zuckerberg"," robert s iii mueller","kim jongun "
2018,"February",2018-02-01," stephen colbert"," stephen a wynn"," robert s iii mueller","kim jongun "
2018,"March",2018-03-01," jimmy kimmel"," mark e zuckerberg"," vladimir v putin","kim jongun "
2018,"April",2018-04-01," bill cosby"," mark e zuckerberg"," robert s iii mueller","kim jongun "
2018,"May",2018-05-01," jimmy fallon"," leslie moonves"," robert s iii mueller","kim jongun "
2018,"June",2018-06-01," stephen colbert"," rupert murdoch","kim jongun ","kim jongun "
2018,"July",2018-07-01," stephen colbert"," lloyd c blankfein"," vladimir v putin"," vladimir v putin"
2018,"August",2018-08-01," aretha franklin"," elon musk"," michael d  cohen"," vladimir v putin"
2018,"September",2018-09-01," bill cosby"," elon musk"," brett m kavanaugh","francis "
2018,"October",2018-10-01," jimmy kimmel"," jamal khashoggi"," brett m kavanaugh"," jamal khashoggi"
2018,"November",2018-11-01," stephen colbert"," carlos ghosn"," robert s iii mueller"," theresa m may"
2018,"December",2018-12-01," jimmy fallon","meng wanzhou "," robert s iii mueller"," theresa m may"
2019,"January",2019-01-01," jimmy fallon"," carlos ghosn"," alexandria ocasiocortez"," nicolas maduro"
2019,"February",2019-02-01," seth meyers"," jeffrey p bezos"," alexandria ocasiocortez"," nicolas maduro"
2019,"March",2019-03-01," jimmy kimmel"," carlos ghosn"," robert s iii mueller"," theresa m may"
2019,"April",2019-04-01," jimmy fallon"," carlos ghosn"," robert s iii mueller"," benjamin netanyahu"
2019,"May",2019-05-01," stephen colbert"," dara khosrowshahi"," robert s iii mueller"," theresa m may"
2019,"June",2019-06-01," stephen colbert"," jerome h powell"," elizabeth warren","xi jinping "
2019,"July",2019-07-01," stephen colbert"," jeffrey e  epstein"," robert s iii mueller"," boris johnson"
2019,"August",2019-08-01," stephen colbert"," jeffrey e  epstein"," joseph r jr biden"," boris johnson"
2019,"September",2019-09-01," stephen colbert"," jeffrey e  epstein"," joseph r jr biden"," boris johnson"
2019,"October",2019-10-01," jimmy kimmel"," mark e zuckerberg"," elizabeth warren"," boris johnson"
2019,"November",2019-11-01," jimmy kimmel"," elizabeth warren"," elizabeth warren"," boris johnson"
2019,"December",2019-12-01," jimmy fallon"," mark e zuckerberg"," jeremy  corbyn"," boris johnson"
